csa_10,pop,area_sqft
Allendale/Irvington/S. Hilton,14828,63770461.7796021
Beechfield/Ten Hills/West Hills,12083,47882527.7110596
Belair-Edison,15085,44950030.4716797
Brooklyn/Curtis Bay/Hawkins Point,13479,176077742.748718
Canton,8239,15408538.2247314
Cedonia/Frankford,22455,71541340.3063965
Cherry Hill,7496,29144181.3516235
Chinquapin Park/Belvedere,7219,21022590.1307373
Claremont/Armistead,9064,61243774.4211426
Clifton-Berea,7577,23285233.9251099
Cross-Country/Cheswolde,13213,38222018.3164673
Dickeyville/Franklintown,3672,35719112.4142456
Dorchester/Ashburton,10441,34118277.1812134
Downtown/Seton Hill,9448,20736554.4064941
Edmondson Village,7093,23563061.0443115
Fells Point,10638,12620515.7171631
Forest Park/Walbrook,9426,37200535.0296631
Glen-Fallstaff,14497,46995477.4781494
Greater Charles Village/Barclay,16944,27051213.4559937
Greater Govans,9593,22698495.7178955
Greater Mondawmin,8638,33663448.2791138
Greater Roland Park/Poplar Hill,7283,56688145.1790161
Greater Rosemont,15099,42204384.5406494
Greenmount East,6955,19072287.8240967
Hamilton,12391,45191100.5593872
Harbor East/Little Italy,5027,10215859.0836182
Harford/Echodale,16450,65360039.1698608
Highlandtown,8820,11684191.1186523
Howard Park/West Arlington,9386,63262430.0730591
Inner Harbor/Federal Hill,15124,24995836.2615967
Lauraville,11324,49665744.2354736
Loch Raven,14161,44147812.3265381
Madison/East End,6093,8897845.19189453
Medfield/Hampden/Woodberry/Remington,17733,62441489.2398071
Midtown,17099,23823949.9294434
Midway/Coldstream,7393,17884471.2862549
Morrell Park/Violetville,8557,67470845.9901123
Mount Washington/Coldspring,5790,56943058.6497192
North Baltimore/Guilford/Homeland,17626,74923987.6937256
Northwood,14533,52743271.7706299
Oldtown/Middle East,10009,24585968.2341919
Orangeville/East Highlandtown,11502,89894372.2113037
Patterson Park North & East,14320,14507643.2044067
Penn North/Reservoir Hill,8072,41059796.6773071
Pimlico/Arlington/Hilltop,9376,30400962.0054932
Poppleton/The Terraces/Hollins Market,4728,9302012.99926758
Sandtown-Winchester/Harlem Park,10531,23672092.8682861
South Baltimore,8208,46353935.4255981
Southeastern,6772,111251478.472229
Southern Park Heights,10660,27876227.5908203
Southwest Baltimore,13189,37766068.8365479
The Waverlies,7148,20383750.5437012
Upton/Druid Heights,8916,16976622.3380127
Washington Village/Pigtown,5189,39343262.0375977
Westport/Mount Winans/Lakeland,7031,45494092.9501953
