date,neighborhood
2026-05-28 00:00:00+00:00,Carrollton Ridge
2010-07-17 00:00:00+00:00,Carrollton Ridge
2008-06-26 00:00:00+00:00,Carrollton Ridge
2022-12-05 00:00:00+00:00,Carrollton Ridge
2024-02-01 00:00:00+00:00,Carrollton Ridge
2021-11-05 00:00:00+00:00,Carrollton Ridge
2008-01-25 00:00:00+00:00,Carrollton Ridge
2025-01-16 00:00:00+00:00,Carrollton Ridge
2023-02-07 00:00:00+00:00,Carrollton Ridge
2020-06-30 00:00:00+00:00,Carrollton Ridge
2020-01-02 00:00:00+00:00,Carrollton Ridge
2017-09-08 00:00:00+00:00,Carrollton Ridge
2024-10-31 00:00:00+00:00,Carrollton Ridge
2025-12-04 00:00:00+00:00,Carrollton Ridge
2016-12-23 00:00:00+00:00,Carrollton Ridge
2017-03-29 00:00:00+00:00,Carrollton Ridge
2016-10-12 00:00:00+00:00,Carrollton Ridge
2014-07-13 00:00:00+00:00,Carrollton Ridge
2021-02-13 00:00:00+00:00,Carrollton Ridge
2024-10-31 00:00:00+00:00,Carrollton Ridge
2025-01-17 00:00:00+00:00,Carrollton Ridge
2015-10-13 00:00:00+00:00,Carrollton Ridge
2017-03-27 00:00:00+00:00,Carrollton Ridge
2024-01-31 00:00:00+00:00,Carrollton Ridge
2011-02-18 00:00:00+00:00,Carrollton Ridge
2014-07-03 00:00:00+00:00,Mt. Clare
2018-03-23 00:00:00+00:00,Mt. Clare
2026-01-21 00:00:00+00:00,Mt. Clare
2024-11-26 00:00:00+00:00,Mt. Clare
2009-05-27 00:00:00+00:00,Mt. Clare
2026-02-12 00:00:00+00:00,Hollins Market
2026-05-11 00:00:00+00:00,Hollins Market
2008-03-14 00:00:00+00:00,Hollins Market
2025-08-20 00:00:00+00:00,Hollins Market
2020-02-14 00:00:00+00:00,Hollins Market
2015-12-18 00:00:00+00:00,Hollins Market
2016-11-16 00:00:00+00:00,Carrollton Ridge
2014-05-30 00:00:00+00:00,Carrollton Ridge
2025-11-07 00:00:00+00:00,Carrollton Ridge
2025-12-09 00:00:00+00:00,Mt. Clare
2024-05-03 00:00:00+00:00,Mt. Clare
2008-01-10 00:00:00+00:00,Carrollton Ridge
2023-02-12 00:00:00+00:00,Carrollton Ridge
2007-06-26 00:00:00+00:00,Mt. Clare
2020-02-06 00:00:00+00:00,Carrollton Ridge
2024-06-24 00:00:00+00:00,Carrollton Ridge
2021-06-06 00:00:00+00:00,Carrollton Ridge
2024-10-16 00:00:00+00:00,Mt. Clare
2007-05-29 00:00:00+00:00,Mt. Clare
2024-05-23 00:00:00+00:00,Mt. Clare
2016-08-17 00:00:00+00:00,Mt. Clare
2005-10-31 00:00:00+00:00,Carrollton Ridge
2024-01-24 00:00:00+00:00,Mt. Clare
2008-11-06 00:00:00+00:00,Mt. Clare
2024-01-25 00:00:00+00:00,Mt. Clare
2008-03-05 00:00:00+00:00,Mt. Clare
2015-12-10 00:00:00+00:00,Mt. Clare
2010-04-14 00:00:00+00:00,Mt. Clare
2007-03-15 00:00:00+00:00,Mt. Clare
2025-04-07 00:00:00+00:00,Mt. Clare
2018-07-12 00:00:00+00:00,Mt. Clare
2025-09-15 00:00:00+00:00,Mt. Clare
2026-05-18 00:00:00+00:00,Mt. Clare
2007-08-24 00:00:00+00:00,Mt. Clare
2025-07-07 00:00:00+00:00,Mt. Clare
2017-04-28 00:00:00+00:00,Mt. Clare
2022-05-22 00:00:00+00:00,Mt. Clare
2009-01-06 00:00:00+00:00,Carrollton Ridge
2025-04-26 00:00:00+00:00,Mt. Clare
2009-04-21 00:00:00+00:00,Mt. Clare
2016-07-15 00:00:00+00:00,Mt. Clare
2026-03-26 00:00:00+00:00,Mt. Clare
2014-08-01 00:00:00+00:00,Mt. Clare
2006-03-17 00:00:00+00:00,Carrollton Ridge
2005-12-06 00:00:00+00:00,Carrollton Ridge
2012-09-28 00:00:00+00:00,Carrollton Ridge
2016-11-30 00:00:00+00:00,Sharp-Leadenhall
2018-04-28 00:00:00+00:00,Washington Village/Pigtown
2023-11-14 00:00:00+00:00,Mt. Clare
2025-06-30 00:00:00+00:00,Mt. Clare
2025-12-10 00:00:00+00:00,Mt. Clare
2025-11-19 00:00:00+00:00,Mt. Clare
2018-07-10 00:00:00+00:00,Mt. Clare
2025-11-18 00:00:00+00:00,Mt. Clare
2026-03-05 00:00:00+00:00,Mt. Clare
2026-07-07 00:00:00+00:00,Mt. Clare
2024-12-23 00:00:00+00:00,Mt. Clare
2026-06-07 00:00:00+00:00,Mt. Clare
2010-08-25 00:00:00+00:00,Mt. Clare
2024-12-12 00:00:00+00:00,Mt. Clare
2026-04-16 00:00:00+00:00,Mt. Clare
2025-03-09 00:00:00+00:00,Mt. Clare
2024-10-29 00:00:00+00:00,Mt. Clare
2024-10-29 00:00:00+00:00,Mt. Clare
2025-11-07 00:00:00+00:00,Mt. Clare
2026-01-21 00:00:00+00:00,Mt. Clare
2026-06-29 00:00:00+00:00,Mt. Clare
2025-06-29 00:00:00+00:00,Mt. Clare
2021-08-24 00:00:00+00:00,Washington Hill
2026-03-31 00:00:00+00:00,Washington Hill
2026-07-01 00:00:00+00:00,Washington Hill
2025-11-13 00:00:00+00:00,Downtown
2018-12-06 00:00:00+00:00,Little Italy
2023-04-12 00:00:00+00:00,Little Italy
2025-09-23 00:00:00+00:00,Fells Point
2009-12-18 00:00:00+00:00,Oliver
2007-08-08 00:00:00+00:00,Oliver
2024-12-17 00:00:00+00:00,Oliver
2024-07-05 00:00:00+00:00,Oliver
2016-08-17 00:00:00+00:00,Broadway East
2026-06-08 00:00:00+00:00,Broadway East
2022-01-20 00:00:00+00:00,Broadway East
2026-05-26 00:00:00+00:00,Broadway East
2024-02-13 00:00:00+00:00,Broadway East
2019-05-04 00:00:00+00:00,Broadway East
2021-04-19 00:00:00+00:00,Broadway East
2023-11-02 00:00:00+00:00,Broadway East
2011-09-22 00:00:00+00:00,Broadway East
2021-03-11 00:00:00+00:00,Broadway East
2011-06-27 00:00:00+00:00,Broadway East
2007-03-23 00:00:00+00:00,Broadway East
2021-03-27 00:00:00+00:00,Broadway East
2007-06-29 00:00:00+00:00,Broadway East
2007-06-27 00:00:00+00:00,Broadway East
2007-06-26 00:00:00+00:00,Broadway East
2015-02-11 00:00:00+00:00,Broadway East
2023-11-02 00:00:00+00:00,Broadway East
2009-07-09 00:00:00+00:00,Broadway East
2023-03-03 00:00:00+00:00,Broadway East
2023-11-02 00:00:00+00:00,Broadway East
2021-05-03 00:00:00+00:00,Broadway East
2008-07-22 00:00:00+00:00,Broadway East
2026-06-17 00:00:00+00:00,Broadway East
2023-04-20 00:00:00+00:00,Broadway East
2025-12-16 00:00:00+00:00,Broadway East
2023-11-02 00:00:00+00:00,Broadway East
2024-11-19 00:00:00+00:00,Greenmount West
2019-12-30 00:00:00+00:00,Greenmount West
2021-05-28 00:00:00+00:00,Oliver
2025-08-20 00:00:00+00:00,Greenmount West
2023-07-12 00:00:00+00:00,Oliver
2017-12-28 00:00:00+00:00,Oliver
2007-05-02 00:00:00+00:00,Oliver
2007-08-08 00:00:00+00:00,Oliver
2012-11-20 00:00:00+00:00,Broadway East
2021-05-03 00:00:00+00:00,Broadway East
2010-03-03 00:00:00+00:00,Broadway East
2024-02-14 00:00:00+00:00,Broadway East
2008-04-09 00:00:00+00:00,Broadway East
2015-02-11 00:00:00+00:00,Broadway East
2025-07-01 00:00:00+00:00,Broadway East
2014-08-06 00:00:00+00:00,Broadway East
2014-08-08 00:00:00+00:00,Broadway East
2024-07-30 00:00:00+00:00,Broadway East
2025-07-24 00:00:00+00:00,Broadway East
2015-02-06 00:00:00+00:00,Broadway East
2009-11-13 00:00:00+00:00,Broadway East
2011-12-09 00:00:00+00:00,Broadway East
2016-08-26 00:00:00+00:00,Broadway East
2007-12-11 00:00:00+00:00,Broadway East
2007-07-10 00:00:00+00:00,Broadway East
2024-04-30 00:00:00+00:00,Broadway East
2023-10-15 00:00:00+00:00,Broadway East
2014-01-03 00:00:00+00:00,Broadway East
2023-03-03 00:00:00+00:00,Broadway East
2015-09-10 00:00:00+00:00,Broadway East
2025-05-28 00:00:00+00:00,Middle East
2023-12-22 00:00:00+00:00,Middle East
2022-01-20 00:00:00+00:00,Middle East
2022-04-13 00:00:00+00:00,Middle East
2026-03-11 00:00:00+00:00,Middle East
2025-02-28 00:00:00+00:00,Middle East
2022-11-19 00:00:00+00:00,Middle East
2008-04-09 00:00:00+00:00,Middle East
2026-06-17 00:00:00+00:00,Milton-Montford
2025-05-28 00:00:00+00:00,Milton-Montford
2024-11-06 00:00:00+00:00,Milton-Montford
2023-11-29 00:00:00+00:00,Washington Village/Pigtown
2023-01-20 00:00:00+00:00,Washington Village/Pigtown
2024-02-08 00:00:00+00:00,Washington Village/Pigtown
2023-04-12 00:00:00+00:00,Carroll-South Hilton
2021-06-14 00:00:00+00:00,Middle East
2025-01-21 00:00:00+00:00,Washington Village/Pigtown
2024-12-15 00:00:00+00:00,Washington Village/Pigtown
2017-07-09 00:00:00+00:00,Biddle Street
2026-05-30 00:00:00+00:00,Biddle Street
2019-02-08 00:00:00+00:00,Biddle Street
2026-06-16 00:00:00+00:00,Biddle Street
2023-04-21 00:00:00+00:00,Biddle Street
2023-02-03 00:00:00+00:00,Broadway East
2011-09-22 00:00:00+00:00,Broadway East
2005-07-12 00:00:00+00:00,Broadway East
2010-12-09 00:00:00+00:00,Broadway East
2008-10-23 00:00:00+00:00,Broadway East
2015-02-05 00:00:00+00:00,Broadway East
2009-11-24 00:00:00+00:00,Broadway East
2011-09-26 00:00:00+00:00,Broadway East
2025-12-15 00:00:00+00:00,Broadway East
2007-07-11 00:00:00+00:00,Broadway East
2015-05-07 00:00:00+00:00,Broadway East
2023-11-24 00:00:00+00:00,Broadway East
2026-01-05 00:00:00+00:00,Broadway East
2025-10-17 00:00:00+00:00,Broadway East
2023-11-06 00:00:00+00:00,Broadway East
2014-03-28 00:00:00+00:00,Broadway East
2015-08-23 00:00:00+00:00,Broadway East
2013-07-23 00:00:00+00:00,Broadway East
2013-09-05 00:00:00+00:00,Broadway East
2009-11-25 00:00:00+00:00,Broadway East
2014-05-02 00:00:00+00:00,Broadway East
2026-03-19 00:00:00+00:00,Penrose/Fayette Street Outreach
2017-01-03 00:00:00+00:00,Broadway East
2025-12-05 00:00:00+00:00,Penrose/Fayette Street Outreach
2025-11-17 00:00:00+00:00,Milton-Montford
2010-11-01 00:00:00+00:00,Shipley Hill
2023-06-26 00:00:00+00:00,Shipley Hill
2026-02-13 00:00:00+00:00,Shipley Hill
2008-07-01 00:00:00+00:00,Shipley Hill
2024-02-08 00:00:00+00:00,Shipley Hill
2024-06-21 00:00:00+00:00,Shipley Hill
2022-08-16 00:00:00+00:00,Milton-Montford
2012-06-18 00:00:00+00:00,Shipley Hill
2010-10-26 00:00:00+00:00,Shipley Hill
2020-03-31 00:00:00+00:00,Milton-Montford
2021-08-02 00:00:00+00:00,Shipley Hill
2023-12-15 00:00:00+00:00,Shipley Hill
2026-02-27 00:00:00+00:00,Shipley Hill
2025-01-05 00:00:00+00:00,Milton-Montford
2009-04-17 00:00:00+00:00,Milton-Montford
2026-06-24 00:00:00+00:00,Milton-Montford
2015-12-15 00:00:00+00:00,Milton-Montford
2017-03-24 00:00:00+00:00,Milton-Montford
2020-12-09 00:00:00+00:00,Milton-Montford
2022-04-20 00:00:00+00:00,Shipley Hill
2015-12-15 00:00:00+00:00,Milton-Montford
2026-05-26 00:00:00+00:00,Shipley Hill
2026-01-26 00:00:00+00:00,Shipley Hill
2021-01-11 00:00:00+00:00,Shipley Hill
2023-06-01 00:00:00+00:00,Madison-Eastend
2026-03-27 00:00:00+00:00,Madison-Eastend
2008-03-19 00:00:00+00:00,Madison-Eastend
2023-03-01 00:00:00+00:00,Madison-Eastend
2016-11-04 00:00:00+00:00,Washington Village/Pigtown
2019-02-07 00:00:00+00:00,Washington Village/Pigtown
2020-01-02 00:00:00+00:00,Washington Village/Pigtown
2023-02-15 00:00:00+00:00,Oliver
2007-11-08 00:00:00+00:00,Oliver
